Notice Number,Ticket Number,Issue Date,Violation Location,Zip Code,Violation Code,Violation Description,Unit,Unit Description,Officer,Vehicle Make,License Plate Type,Fine Level 1 Amount,Fine Level 2 Amount,Current Amount Due,Total Payments,Ticket Queue,Ticket Queue Date,Notice Level,Hearing Dispo,Hearing Reason
0,72169773,1/1/21 5:17,1114 N LOREL,,0964100C,BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE,15,CPD,18533,HOND,PAS,150,300,150,0,Define,1/12/2021,,,
5196245570,7009323454,1/1/21 5:20,5000 S ARCHER AVE,606292112,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/22/2021,DETR,,
5235006590,7009322948,1/1/21 5:21,3600 N WESTERN AVENUE,60625,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234884240,7009321763,1/1/21 5:23,1000 W HOLLYWOOD AVE,60538,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/1/2021,VIOL,,
5229173960,7009321546,1/1/21 5:24,6700 S CORNELL DRIVE,606496176,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,1/22/2021,VIOL,,
5234872080,7009321511,1/1/21 5:25,400 S WESTERN AVENUE,60651,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/17/2021,VIOL,,
5199690210,7009321524,1/1/21 5:28,4400 W ROOSEVELT,606513837,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5173079560,71509007,1/1/21 5:30,1927 S ALLPORT ST,606286202,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,12,CPD,5666,FORD,PAS,60,120,120,0,Notice,1/14/2021,SEIZ,,
5173079560,71509006,1/1/21 5:30,1927 S ALLPORT ST,606286202,0964050J,DISABLED PARKING ZONE,12,CPD,5666,FORD,PAS,250,500,500,0,Notice,1/14/2021,SEIZ,,
5221022490,7009325247,1/1/21 5:34,1 S WESTERN AVE,607072542,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/5/2021,DETR,,
5221022490,7009323472,1/1/21 5:36,800 N WESTERN AVE,607072542,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/18/2021,DETR,,
5237447640,7009321567,1/1/21 5:39,1200 N PULASKI ROAD,60647,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5234880380,7009323469,1/1/21 5:40,0 N ASHLAND AVE,60629,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,TMP,100,200,200,0,Notice,1/14/2021,FINL,,
5231302740,7009321754,1/1/21 5:40,848 W 87TH STREET,60628,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5230207080,7009323474,1/1/21 5:42,2400 W CHICAGO AVE,606441212,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,4/19/2021,DETR,,
5232623010,7009323464,1/1/21 5:42,2000 W DIVISION,604532009,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5232964180,7009321533,1/1/21 5:43,9500 S ASHLAND AVENUE,606201136,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/9/2021,VIOL,,
5234872110,7009321534,1/1/21 5:43,9500 S ASHLAND AVENUE,620354329,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/22/2021,DETR,,
5227984260,7009321516,1/1/21 5:45,4200 S CICERO AVENUE,604732947,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5224773000,7009321554,1/1/21 5:46,1000 W HOLLYWOOD AVE,60622,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
0,71556061,1/1/21 5:48,7808 S SOUTH SHORE DR,,0964100C,BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE,4,CPD,7930,TOYT,PAS,150,300,150,0,Define,1/11/2021,,,
5234540780,7009322845,1/1/21 5:49,400 W BELMONT AVE,60419,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,TMP,100,200,200,0,Notice,1/14/2021,SEIZ,,
5233492850,7009323459,1/1/21 5:51,2400 N WESTERN AVENUE,60644,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,TMP,100,200,200,0,Notice,1/14/2021,SEIZ,,
5231553400,7009321766,1/1/21 5:53,3400 W NORTH AVE,60659,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/26/2021,DETR,,
5075071110,7009323466,1/1/21 5:53,800 W NORTH AVENUE,606188306,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5179129770,7009321566,1/1/21 5:57,2000 W FULLERTON AVE,600627108,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/7/2021,VIOL,,
5234872100,7009321521,1/1/21 5:59,200 W GARFIELD BLVD,606212452,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234958870,7009323452,1/1/21 5:59,4700 S WESTERN AVENUE,60632,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/22/2021,DETR,,
5225162860,7009322713,1/1/21 5:59,5200 N SHERIDAN ROAD,606401822,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/26/2021,DETR,Liable,
5230525310,6048484463,1/1/21 6:01,2917 W ROOSEVELT,464104738,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5202109100,6048484464,1/1/21 6:01,4446 N BROADWAY,605275438,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,3/1/2021,DETR,,
5235101410,6048484465,1/1/21 6:01,2912 W ROOSEVELT,60624,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/24/2021,,,
5216695290,6048484466,1/1/21 6:02,2912 W ROOSEVELT,604022047,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5234872180,7009321565,1/1/21 6:03,5600 W DIVERSEY AVENUE,606407257,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,1/27/2021,VIOL,,
5234908030,6048484470,1/1/21 6:04,8318 S ASHLAND AVE,604113051,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5234953270,6048484467,1/1/21 6:04,1901 E 75TH ST,60608,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5228612820,7009321578,1/1/21 6:04,2000 N CICERO AVENUE,604221641,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,200,Paid,5/8/2021,FINL,,
5164691470,6048484468,1/1/21 6:04,6523 N WESTERN,606451222,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,1/29/2021,VIOL,,
5222296150,6048484469,1/1/21 6:04,10318 S INDIANAPOLIS,606176021,9101020*,SPEED VIOLATION 6-10,SPD,Speed,SPEED,OTHR,PAS,35,70,70,0,Notice,1/14/2021,SEIZ,,
5234908040,6048484474,1/1/21 6:05,6909 S KEDZIE,60649,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5173818200,6048484473,1/1/21 6:05,3450 W 71ST,606292035,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5190881170,6048484471,1/1/21 6:05,4124 W FOSTER AVE,600772001,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5233010990,6048484472,1/1/21 6:05,1315 W GARFIELD BLVD,601301357,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,DLS,,
5204657920,6048484476,1/1/21 6:05,5432 W LAWRENCE,601761441,9101020*,SPEED VIOLATION 6-10,SPD,Speed,SPEED,OTHR,PAS,35,70,0,35,Paid,1/24/2021,VIOL,,
5055226290,6048484475,1/1/21 6:05,1142 W IRVING PARK,60636,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,3/7/2021,,,
0,71546686,1/1/21 6:07,2706 N KIMBALL,,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,14,CPD,3374,TOYT,PAS,100,200,0,100,Paid,1/22/2021,,,
5231296010,6048484478,1/1/21 6:07,8020 W FOREST PRESERVE AV,606304758,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,2/14/2021,VIOL,,
5238485740,6048484477,1/1/21 6:07,6226 W IRVING PARK RD,60630,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,175,25,Notice,1/14/2021,SEIZ,,
5224229720,6048484481,1/1/21 6:08,1315 W GARFIELD BLVD,606191009,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,200,Paid,5/27/2021,FINL,,
5235005240,6048484483,1/1/21 6:08,4436 N WESTERN,60632,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5238761210,6048484479,1/1/21 6:08,1507 W 83rd ST,606282317,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5124619970,6048484480,1/1/21 6:08,2900 W OGDEN,606212734,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5234953280,6048484484,1/1/21 6:08,10318 S INDIANAPOLIS,60419,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5238485740,6048484488,1/1/21 6:09,4123 N CENTRAL AVE,60630,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5234074220,6048484485,1/1/21 6:09,4433 N WESTERN,60659,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5230424320,7009321627,1/1/21 6:09,400 W BELMONT AVE,606174038,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,1/27/2021,VIOL,,
5014288480,6048484486,1/1/21 6:09,3843 S WESTERN,606211725,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5233278200,6048484487,1/1/21 6:09,5529 S WESTERN,60608,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5204822620,6048484489,1/1/21 6:10,8020 W FOREST PRESERVE AV,606161909,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,2/3/2021,VIOL,,
5232413480,6048484490,1/1/21 6:10,3047 W JACKSON BLVD,60419,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5049301850,6048484493,1/1/21 6:11,3655 W JACKSON,606321213,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,200,Paid,3/28/2021,FINL,,
5232688950,6048484492,1/1/21 6:11,324 S KEDZIE AVE,60651,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5230536090,6048484494,1/1/21 6:12,5471 W HIGGINS,606384546,9101020*,SPEED VIOLATION 6-10,SPD,Speed,SPEED,OTHR,PAS,35,70,70,0,Notice,1/14/2021,FINL,,
5101674900,6048484496,1/1/21 6:13,445 W 127TH,60620,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5234858860,6048484497,1/1/21 6:14,8318 S ASHLAND AVE,463609168,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5231809790,7009323471,1/1/21 6:14,2400 W MADISON,60615,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5201309470,7009321626,1/1/21 6:14,800 W 99TH ST,604532111,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,200,Paid,4/20/2021,FINL,,
5219131400,6048484499,1/1/21 6:15,450 N COLUMBUS DR,604842801,9101020*,SPEED VIOLATION 6-10,SPD,Speed,SPEED,OTHR,PAS,35,70,70,0,Notice,1/14/2021,FINL,,
5225399930,6048484500,1/1/21 6:15,324 S KEDZIE AVE,606561714,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,2/11/2021,VIOL,,
5204817030,6048484498,1/1/21 6:15,1901 E 75TH ST,60620,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,2/14/2021,,,
5233775650,7009321628,1/1/21 6:15,800 N CENTRAL AVENUE,60644,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5237957190,7009338159,1/1/21 6:16,6400 N WESTERN AVENUE,60645,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,2/1/2021,SEIZ,,
5231156690,6048484502,1/1/21 6:16,4432 N LINCOLN,60626,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,200,Paid,3/28/2021,FINL,,
5231419240,6048484501,1/1/21 6:16,506 S CENTRAL AVE,603021150,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,3/19/2021,DETR,,
5234958890,7009323486,1/1/21 6:17,0 N HAMLIN BOULEVARD,60639,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5231642540,6048484503,1/1/21 6:17,10318 S INDIANAPOLIS,604431650,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,3/22/2021,DETR,,
5135584060,6048484504,1/1/21 6:17,6247 W FULLERTON,60402,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,3/28/2021,,,
5234908050,6048484505,1/1/21 6:17,8345 S ASHLAND AVE,604691226,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5234870940,7009325264,1/1/21 6:18,3200 W 31ST STREET,60415,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/5/2021,VIOL,,
5208448570,6048484508,1/1/21 6:18,4124 W FOSTER AVE,605254756,9101020*,SPEED VIOLATION 6-10,SPD,Speed,SPEED,OTHR,PAS,35,70,0,35,Paid,1/29/2021,VIOL,,
5044442070,6048484506,1/1/21 6:18,10318 S INDIANAPOLIS,234620000,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,2/4/2021,VIOL,,
5233071630,6048484507,1/1/21 6:18,2912 W ROOSEVELT,60612,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
0,71779072,1/1/21 6:19,6140 S WASHTENAW,,0964130A,PARK ALLEY,8,CPD,19690,VOLK,PAS,150,300,150,0,Define,1/11/2021,,,
5209895650,6048484510,1/1/21 6:19,5520 S WESTERN,611022810,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,2/7/2021,VIOL,,
5234783290,6048484511,1/1/21 6:19,1315 W GARFIELD BLVD,606151708,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,2/28/2021,DETR,,
5234953290,6048484509,1/1/21 6:19,1334 W GARFIELD BLVD,600641701,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5234394810,7009321631,1/1/21 6:19,7900 S HALSTED STREET,60473,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234872340,7009321690,1/1/21 6:20,4200 S CICERO AVENUE,604732126,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5216181280,71779071,1/1/21 6:20,6136 S WASHTENAW,608042978,0964130A,PARK ALLEY,8,CPD,19690,DODG,PAS,150,300,0,0,Dismissed,3/30/2021,DETR,Not Liable,Violation is Factually Inconsistent
5235813830,7009321691,1/1/21 6:21,4200 S CICERO AVENUE,606324519,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5230626090,71779070,1/1/21 6:21,6130 S WASHTENAW,602013962,0964130A,PARK ALLEY,8,CPD,19690,HYUN,PAS,150,300,300,0,Notice,1/14/2021,FINL,,
5231762790,7009321676,1/1/21 6:23,5200 W IRVING PARK ROA,606392622,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5115381130,6048484515,1/1/21 6:23,2417 W 103RD ST,606552425,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,TRK,100,200,0,100,Paid,3/3/2021,DETR,,
5231952370,6048484514,1/1/21 6:23,1315 W GARFIELD BLVD,60653,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5232428890,6048484513,1/1/21 6:23,62 E 95TH,60637,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5231762790,6048484512,1/1/21 6:23,5454 W IRVING PARK,606392622,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5127225400,6048484516,1/1/21 6:24,62 E 95TH,604357229,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5234958010,7009321609,1/1/21 6:25,4200 S CICERO AVENUE,606262732,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,200,Paid,4/19/2021,FINL,,
5227557460,6048484518,1/1/21 6:25,445 W 127TH,606232262,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234908060,6048484519,1/1/21 6:25,1334 W GARFIELD BLVD,606201536,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5234898190,6048484517,1/1/21 6:25,5330 S COTTAGE GROVE,60621,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5233060270,6048484521,1/1/21 6:26,3843 S WESTERN,606202346,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5213518720,6048484524,1/1/21 6:27,1334 W GARFIELD BLVD,606095032,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,2/21/2021,DETR,,
5234908070,6048484522,1/1/21 6:27,449 N COLUMBUS DR,46321,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5234953300,6048484523,1/1/21 6:27,3137 W PETERSON,606253117,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5216210480,6048484525,1/1/21 6:29,3034 W FOSTER,600162946,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5233913700,6048484526,1/1/21 6:29,1142 W IRVING PARK,606121303,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5222609410,6048484528,1/1/21 6:30,5330 S COTTAGE GROVE,741341424,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/10/2021,,,
5235206000,6048484529,1/1/21 6:30,3137 W PETERSON,606161204,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,35,65,Notice,1/14/2021,VIOL,,
5230225400,6048484527,1/1/21 6:30,5520 S WESTERN,606291718,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5207378150,7009325257,1/1/21 6:31,600 S CICERO AVENUE,606210000,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/11/2021,FINL,,
5233336710,7009323484,1/1/21 6:32,1 N HALSTED STREET,60644,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,1/27/2021,VIOL,,
5235621810,6048484532,1/1/21 6:33,5529 S WESTERN,606241801,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,2/28/2021,,,
5230828760,6048484531,1/1/21 6:33,1142 W IRVING PARK,60645,9101020*,SPEED VIOLATION 6-10,SPD,Speed,SPEED,OTHR,PAS,35,70,0,35,Paid,2/21/2021,DETR,,
5202655680,6048484535,1/1/21 6:34,3100 W AUGUSTA,600701600,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,3/9/2021,DETR,,
5156020010,6048484534,1/1/21 6:34,6523 N WESTERN,606232904,9101020*,SPEED VIOLATION 6-10,SPD,Speed,SPEED,OTHR,PAS,35,70,85.4,0,Notice,1/14/2021,SEIZ,,
5188410350,7009321586,1/1/21 6:34,7600 S STONY ISLAND A,606492216,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234908080,6048484533,1/1/21 6:34,115 N OGDEN,60304,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5086665700,6048484537,1/1/21 6:35,8345 S ASHLAND AVE,600465733,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,175,25,Notice,1/14/2021,FINL,,
5207422780,6048484536,1/1/21 6:35,3646 W MADISON,607074424,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,0,100,Paid,4/3/2021,VIOL,,
5234908090,6048484538,1/1/21 6:36,4124 W FOSTER AVE,606227330,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5234885730,7009322599,1/1/21 6:36,7200 W BELMONT AVE,606344837,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,TRK,100,200,0,100,Paid,2/18/2021,DETR,Liable,
5234872250,7009321610,1/1/21 6:36,4200 S CICERO AVENUE,60628,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,TRK,100,200,0,100,Paid,3/17/2021,DETR,,
5234908100,6048485836,1/1/21 6:36,4123 N CENTRAL AVE,60124,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5234884270,7009321775,1/1/21 6:37,1600 W 87TH ST,60620,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5229130540,7009321791,1/1/21 6:38,4000 W LAWRENCE AVENUE,606182008,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5234884270,6048484539,1/1/21 6:38,8345 S ASHLAND AVE,60620,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5235025070,6048484540,1/1/21 6:39,140 N ASHLAND,537114940,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,TRK,0,0,0,0,Warning,1/24/2021,,,
5188028720,6048484541,1/1/21 6:39,515 S CENTRAL AVE,606441854,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5234908110,6048484543,1/1/21 6:41,4436 N WESTERN,60123,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5216145010,6048484546,1/1/21 6:41,1142 W IRVING PARK,60659,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234858860,6048484547,1/1/21 6:41,8345 S ASHLAND AVE,463609168,9101020**,SPEED VIOLATION 11+,SPD,Speed,SPEED,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5195745440,6048484545,1/1/21 6:41,5520 S WESTERN,606362011,9101020*,SPEED VIOLATION 6-10,SPD,Speed,SPEED,OTHR,PAS,35,70,0,70,Paid,5/27/2021,FINL,,
5235025080,6048484544,1/1/21 6:41,445 W 127TH,75261,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/24/2021,,,
5234908120,6048484548,1/1/21 6:42,445 W 127TH,606332057,9100045B2,SPEED WARNING,SPD,Speed,SPEED,OTHR,PAS,0,0,0,0,Warning,1/17/2021,,,
5232948860,7009325256,1/1/21 6:43,2000 N CICERO AVENUE,60644,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
